YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Weather	Clouds	Amount	People	Ships
1916-05-24	1	37.85	-122.47			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/3898/24389836/content/dc-metro/rg-026/585454/0001-A1/McCulloch-b1536-1916-04-thru-06/McCulloch-b1536-1916-04-thru-06_0112.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/3898/24389836/content/dc-metro/rg-026/585454/0001-A1/McCulloch-b1536-1916-04-thru-06/McCulloch-b1536-1916-04-thru-06_0113.JPG	 																
1916-05-24	2	37.85	-122.47			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/3898/24389836/content/dc-metro/rg-026/585454/0001-A1/McCulloch-b1536-1916-04-thru-06/McCulloch-b1536-1916-04-thru-06_0112.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/3898/24389836/content/dc-metro/rg-026/585454/0001-A1/McCulloch-b1536-1916-04-thru-06/McCulloch-b1536-1916-04-thru-06_0113.JPG	 																
1916-05-24	3	37.85	-122.47			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/3898/24389836/content/dc-metro/rg-026/585454/0001-A1/McCulloch-b1536-1916-04-thru-06/McCulloch-b1536-1916-04-thru-06_0112.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/3898/24389836/content/dc-metro/rg-026/585454/0001-A1/McCulloch-b1536-1916-04-thru-06/McCulloch-b1536-1916-04-thru-06_0113.JPG	 																
1916-05-24	4	37.85	-122.47			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/3898/24389836/content/dc-metro/rg-026/585454/0001-A1/McCulloch-b1536-1916-04-thru-06/McCulloch-b1536-1916-04-thru-06_0112.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/3898/24389836/content/dc-metro/rg-026/585454/0001-A1/McCulloch-b1536-1916-04-thru-06/McCulloch-b1536-1916-04-thru-06_0113.JPG	0410: Got Underway. Stood out of Golden Gate and through North Channel.																
1916-05-24	5	37.81	-122.55	888		6.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/3898/24389836/content/dc-metro/rg-026/585454/0001-A1/McCulloch-b1536-1916-04-thru-06/McCulloch-b1536-1916-04-thru-06_0112.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/3898/24389836/content/dc-metro/rg-026/585454/0001-A1/McCulloch-b1536-1916-04-thru-06/McCulloch-b1536-1916-04-thru-06_0113.JPG	0515: North Channel gas and whistling buoy. cc W1/2S						270	288	5	29.87	52	51	bcz	Ci	3		
1916-05-24	6	37.85	-122.68	888		7.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/3898/24389836/content/dc-metro/rg-026/585454/0001-A1/McCulloch-b1536-1916-04-thru-06/McCulloch-b1536-1916-04-thru-06_0112.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/3898/24389836/content/dc-metro/rg-026/585454/0001-A1/McCulloch-b1536-1916-04-thru-06/McCulloch-b1536-1916-04-thru-06_0113.JPG	0610: Duxbury reef buoy close aboard						270	288	5	29.89	54	53	bcz	S Cu	4		
1916-05-24	7	37.88	-122.82	265.78		7.0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/3898/24389836/content/dc-metro/rg-026/585454/0001-A1/McCulloch-b1536-1916-04-thru-06/McCulloch-b1536-1916-04-thru-06_0112.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/3898/24389836/content/dc-metro/rg-026/585454/0001-A1/McCulloch-b1536-1916-04-thru-06/McCulloch-b1536-1916-04-thru-06_0113.JPG	 					W3/8S	270	288	13	29.92	56	55	bcz	S Cu	4		
1916-05-24	8	37.90	-122.96	265.78		7.0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/3898/24389836/content/dc-metro/rg-026/585454/0001-A1/McCulloch-b1536-1916-04-thru-06/McCulloch-b1536-1916-04-thru-06_0112.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/3898/24389836/content/dc-metro/rg-026/585454/0001-A1/McCulloch-b1536-1916-04-thru-06/McCulloch-b1536-1916-04-thru-06_0113.JPG	"0850: Point Reyes abeam, dist  5 miles"					W3/8S	270	288	13	29.93	57	55	bcz	S Cu	3		
1916-05-24	9	37.92	-123.08	265.78		6.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/3898/24389836/content/dc-metro/rg-026/585454/0001-A1/McCulloch-b1536-1916-04-thru-06/McCulloch-b1536-1916-04-thru-06_0112.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/3898/24389836/content/dc-metro/rg-026/585454/0001-A1/McCulloch-b1536-1916-04-thru-06/McCulloch-b1536-1916-04-thru-06_0113.JPG	0911: NWxW5/8W					W3/8S	293	311	13	29.94	57	56	bcz	Ci Cu	3		
1916-05-24	10	37.99	-123.17	296.72		6.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/3898/24389836/content/dc-metro/rg-026/585454/0001-A1/McCulloch-b1536-1916-04-thru-06/McCulloch-b1536-1916-04-thru-06_0112.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/3898/24389836/content/dc-metro/rg-026/585454/0001-A1/McCulloch-b1536-1916-04-thru-06/McCulloch-b1536-1916-04-thru-06_0113.JPG	 					NWxW5/8W	293	311	13	29.97	56	56	bcz	Ci Cu	3		
