YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Weather
1864-01-01	15	-16.43	-7.85	281.25		4.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	124	101	2		70	b
1864-01-01	16	-16.45	-7.94	281.25		5.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	124	101	2		70	b
1864-01-01	17	-16.46	-8.02	281.25		4.3		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	124	101	2		70	b
1864-01-01	18	-16.48	-8.10	281.25		4.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	124	101	2		70	b
1864-01-01	19	-16.50	-8.19	281.25		5.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	124	101	2		70	b
1864-01-01	20	-16.52	-8.29	281.25		5.3		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	124	101	2	30.03	70	b
1864-01-01	21	-16.54	-8.35	281.25		3.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	124	101	2		72	b
1864-01-01	22	-16.55	-8.41	281.25		3.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	124	101	2		72	b
1864-01-01	23	-16.57	-8.49	281.25		4.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	124	101	2		72	b
1864-01-01	24	-16.59	-8.57	281.25		4.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	124	101	2	30.02	72	b
1864-01-02	1	-16.61	-8.66	281.25		4.8		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	135	112	2		70	b
1864-01-02	2	-16.63	-8.76	281.25		6.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	135	112	2		70	b
1864-01-02	3	-16.66	-8.87	281.25		5.8		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	135	112	2		70	b
1864-01-02	4	-16.68	-8.96	281.25		5.3		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	135	112	2	30.00	70	b
1864-01-02	5	-16.70	-9.06	281.25		5.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	135	112	2			
1864-01-02	6	-16.72	-9.15	281.25		5.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	135	112	2			
1864-01-02	7	-16.74	-9.25	281.25		5.3		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	135	112	2			
1864-01-02	8	-16.76	-9.34	281.25		5.3		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	135	112	2			
1864-01-02	9	-16.78	-9.44	281.25		5.3		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	135	112	5		72	bc
1864-01-02	10	-16.80	-9.53	281.25		5.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	135	112	5		72	bc
1864-01-02	11	-16.83	-9.63	281.25		6.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 					wxn	135	112	5		72	bc
1864-01-02	12	-16.85	-9.74	281.25		6.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-mohican-005/581208-mohican-005-014.JPG	 			9 37S	9 44 30 W	wxn	135	112	5	30.06	72	bc
