YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Weather	Clouds	Amount	People	Ships	Other
1913-05-26	13	37.81	-122.49	888		4.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/24/4072/24407224/content/dc-metro/rg-026/585454/0001-A1/Manning-1913/Manning-1913_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/24/4072/24407224/content/dc-metro/rg-026/585454/0001-A1/Manning-1913/Manning-1913_0147.JPG	"1:12pm: Bonita Channel whistle abeam, c/co W7/8S and set Bliss log (97.25)"					v	225	243	8	30.02	60	56	ocz	a-s	10			
1913-05-26	14	37.83	-122.61	268.59		8.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/24/4072/24407224/content/dc-metro/rg-026/585454/0001-A1/Manning-1913/Manning-1913_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/24/4072/24407224/content/dc-metro/rg-026/585454/0001-A1/Manning-1913/Manning-1913_0147.JPG	"2:51pm: Duxbury Reef buoy abeam, distance 1/2 mile c/co W1/4n "					W1/8S	225	243	5	30.03	60	56	ocz	a-s	10			
1913-05-26	15	37.86	-122.73	272.81		8.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/24/4072/24407224/content/dc-metro/rg-026/585454/0001-A1/Manning-1913/Manning-1913_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/24/4072/24407224/content/dc-metro/rg-026/585454/0001-A1/Manning-1913/Manning-1913_0147.JPG	 					W1/4N	225	243	5	30.03	60	56	ocz	a-s	10	"3:30pm: E.E. Gold gunner, sick and off duty."		
1913-05-26	16	37.9	-122.96	272.81		8.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/24/4072/24407224/content/dc-metro/rg-026/585454/0001-A1/Manning-1913/Manning-1913_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/24/4072/24407224/content/dc-metro/rg-026/585454/0001-A1/Manning-1913/Manning-1913_0147.JPG	"4:06pm: Pt. Rey's L.H. abeam, N1/4E, distance 2.8 miles, set Course NWxW7/8W psc."					W1/4N	158	176	5	30.02	62	59	ocf		10			
1913-05-26	17	38.01	-123.11	313.59		8.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/24/4072/24407224/content/dc-metro/rg-026/585454/0001-A1/Manning-1913/Manning-1913_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/24/4072/24407224/content/dc-metro/rg-026/585454/0001-A1/Manning-1913/Manning-1913_0147.JPG	 					NWxW7/8N	158	176	5	30.00	62	59	ocf		10			
1913-05-26	18	38.12	-123.25	313.59		8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/24/4072/24407224/content/dc-metro/rg-026/585454/0001-A1/Manning-1913/Manning-1913_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/24/4072/24407224/content/dc-metro/rg-026/585454/0001-A1/Manning-1913/Manning-1913_0147.JPG	 					NWxW7/8N	158	176	2	30.00	60	58	ocf		10			
1913-05-26	19	38.23	-123.4	313.59		8.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/24/4072/24407224/content/dc-metro/rg-026/585454/0001-A1/Manning-1913/Manning-1913_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/24/4072/24407224/content/dc-metro/rg-026/585454/0001-A1/Manning-1913/Manning-1913_0147.JPG	 					NWxW7/8N	158	176	2	30.00	60	58	ocf		10			
1913-05-26	20	38.33	-123.54	313.59		7.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/24/4072/24407224/content/dc-metro/rg-026/585454/0001-A1/Manning-1913/Manning-1913_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/24/4072/24407224/content/dc-metro/rg-026/585454/0001-A1/Manning-1913/Manning-1913_0147.JPG	 			38 19 30 	12.3 32 38 W	NWxW7/8N	248	266	2	29.99	60	58	bcf		10			
1913-05-26	21	38.43	-123.63	313.59		7.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/24/4072/24407224/content/dc-metro/rg-026/585454/0001-A1/Manning-1913/Manning-1913_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/24/4072/24407224/content/dc-metro/rg-026/585454/0001-A1/Manning-1913/Manning-1913_0147.JPG	 					NWxW7/8N	248	266	2	29.98	59	57	bcf		10			
1913-05-26	22	38.54	-123.72	313.59		7.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/24/4072/24407224/content/dc-metro/rg-026/585454/0001-A1/Manning-1913/Manning-1913_0147.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/24/4072/24407224/content/dc-metro/rg-026/585454/0001-A1/Manning-1913/Manning-1913_0147.JPG	 					NWxW7/8N	248	266	2	29.98	59	57	ncf		10			
