YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	People	Ships	Other	Other
1882-01-01	16	18.83	-74.36	180		1.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 					s	248	250	1	30.11	86	81	75	80	bc	ci cu	4				
1882-01-01	17	18.85	-74.37	360		1.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 					n	270	272	1	30.11	85	81	74	80	bc	ci cu	5				
1882-01-01	18	18.86	-74.37	354.38		1.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 					n1/2w	293	295	1	30.11	84	81	74	80	bc	ci cu	6				
1882-01-01	19	18.88	-74.39	337.5		1.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 					nnw	315	317	2	30.11	79	76	73	80	bc	ci cu	7				
1882-01-01	20	18.89	-74.40	337.5		1.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 					nnw	315	317	2	30.11	79	76	73	80	bc	ci cu	8				
1882-01-01	21	18.91	-74.40	354.38		1.3		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 					n1/2w	281	283	3	30.14	79	76	73	80	bc	ci cu	7				
1882-01-01	22	18.94	-74.41	354.38		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 					n1/2w	281	283	5	30.14	79	76	73	80	bc	ci cu	8				
1882-01-01	23	18.96	-74.42	354.38		1.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 					n1/2w	281	283	3	30.13	79	76	73	80	bc	ci cu	8				
1882-01-01	24	18.95	-74.43	225		0.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 					sw	293	295	1	30.10	79	76	73	80	bc	ci cu	3				
1882-01-02	1	18.95	-74.45	270		1.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0094.JPG	 					w	293	295	5	30.10	80	77	73	79	bcz	cu	4				
