YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather
1863-05-12	1	40.70	-73.97			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	 												
1863-05-12	2	40.70	-73.97			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	 												
1863-05-12	3	40.70	-73.97			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	 												
1863-05-12	4	40.70	-73.97			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	 												
1863-05-12	5	40.70	-73.97			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	 												
1863-05-12	6	40.70	-73.97			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	 												
1863-05-12	7	40.70	-73.97			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	 												
1863-05-12	8	40.70	-73.97			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	 												
1863-05-12	9	40.70	-73.97			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	 												
1863-05-12	10	40.70	-73.97			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	 												
1863-05-12	11	40.70	-73.97			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	 												
1863-05-12	12	40.70	-73.97			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-002/581208-ticonderoga-002-002.JPG	Noon: New York Naval Shipyard												
