YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	Ships	Other
1866-01-01	15	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	 						315	295	2				bc		
1866-01-01	16	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	 						315	295	2	30.64			bc		
1866-01-01	17	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	 						315	295	2		55		bc		
1866-01-01	18	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	 						315	295	2				bc		
1866-01-01	19	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	 						315	295	2				bc		
1866-01-01	20	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	 						0	0	0	30.64			bc		
1866-01-01	21	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	 						0	0	0		55		bc		
1866-01-01	22	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	 						0	0	0				bc		
1866-01-01	23	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	 						0	0	0				bc		
1866-01-01	24	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	 						0	0	0	30.64	54		bc		
1866-01-02	1	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-038.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-038.JPG	 						0	0	0	30.64	58		b		
1866-01-02	2	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-038.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-038.JPG	 						0	0	0				b		
1866-01-02	3	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-038.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-038.JPG	 						0	0	0	30.64			b		
1866-01-02	4	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-038.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-038.JPG	 						0	0	0		57		b		
1866-01-02	5	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-038.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-038.JPG	 						135	115	2				bc		
