YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear
1875-01-01	1	31.24	121.49			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol20of86/kearsarge-vol20of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol20of86/kearsarge-vol20of86_0012.JPG	 						338	336	2	30.34	40	34	33		bc	cir	
1875-01-01	2	31.24	121.49			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol20of86/kearsarge-vol20of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol20of86/kearsarge-vol20of86_0012.JPG	 						338	336	2	30.34	40	33	32		bc	cir	9
1875-01-01	3	31.24	121.49			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol20of86/kearsarge-vol20of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol20of86/kearsarge-vol20of86_0012.JPG	 						338	336	2	30.34	40	33	32		bc	cir	9
1875-01-01	4	31.24	121.49			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol20of86/kearsarge-vol20of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol20of86/kearsarge-vol20of86_0012.JPG	 						338	336	2	30.34	40	33	32		bc	cir	9
1875-01-01	5	31.24	121.49			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol20of86/kearsarge-vol20of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol20of86/kearsarge-vol20of86_0012.JPG	 						338	336	2	30.34	38	32	31		bc	cum	6
1875-01-01	6	31.24	121.49			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol20of86/kearsarge-vol20of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol20of86/kearsarge-vol20of86_0012.JPG	 						338	336	2	30.34	36	30	29		bc	cum	7
1875-01-01	7	31.24	121.49			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol20of86/kearsarge-vol20of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol20of86/kearsarge-vol20of86_0012.JPG	 						338	336	2	30.34	34	29	28		bc	cum	8
1875-01-01	8	31.24	121.49			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol20of86/kearsarge-vol20of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol20of86/kearsarge-vol20of86_0012.JPG	 						338	336	2	30.34	35	32	30		bc	cum	4
1875-01-01	9	31.24	121.49			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol20of86/kearsarge-vol20of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol20of86/kearsarge-vol20of86_0012.JPG	 						315	313	2	30.35	37	35	34		bc	circum	7
1875-01-01	10	31.24	121.49			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol20of86/kearsarge-vol20of86_0012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol20of86/kearsarge-vol20of86_0012.JPG	 						315	313	2	30.33	38	37	36		bc	circum	5
