YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	Ships	Other
1882-01-01	14	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						338	344	6	30.25	52	56	46		bcz	cir	8		
1882-01-01	15	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						338	344	8	30.24	57	55	46		bcz	cir	5		
1882-01-01	16	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						338	344	8	30.25	54	54	45		bc	cir	8		
1882-01-01	17	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						349	355	8	30.23	56	54	46		bcz	str cum	8		
1882-01-01	18	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						349	355	8	30.25	55	53	46		bcz	str cum	8		
1882-01-01	19	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						360	6	5	30.25	55	51	44		bcz	cir	8		
1882-01-01	20	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						360	6	5	30.27	55	50	44		bcz	cir	8		
1882-01-01	21	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						68	74	2	30.26	52	49	44		bcz	cir	8		
1882-01-01	22	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						68	74	2	30.25	50	48	43		bcz	cir	8		
1882-01-01	23	29.95	-90.06			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/kearsarge-vol41of86/kearsarge-vol41of86_0021.JPG	 						68	74	2	30.24	49	47	42		bcz	cir	8		
