YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Long	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	People	Ships	Other	Baro cm HG
1863-01-02	5	36.49	-6.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	 						45	26	2				b				
1863-01-02	6	36.49	-6.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	 																
1863-01-02	7	36.49	-6.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	 																
1863-01-02	8	36.49	-6.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	 																
1863-01-02	9	36.49	-6.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	 						315	296	5				b				
1863-01-02	10	36.49	-6.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	 																
1863-01-02	11	36.49	-6.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	 																
1863-01-02	12	36.49	-6.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	"Noon: La Carraca Dockyard, Spain."																
1863-01-02	13	36.49	-6.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	 						315	296	2				b				
1863-01-02	14	36.49	-6.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/Uss_Kearsarge_01241862-02071863/Uss_Kearsarge_01241862-02071863_image_0349.jpg	 																
