YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	Amount	People
1915-01-01	1	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27												
1915-01-01	2	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27		68	86	8	30.20	45	44	48	oc	s	10	
1915-01-01	3	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27												
1915-01-01	4	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27		68	86	8	30.22	46	45	48	oc	s	10	
1915-01-01	5	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27												
1915-01-01	6	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27		68	86	5	30.22	46	45	48	oc	s	10	
1915-01-01	7	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27												
1915-01-01	8	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27		68	86	5	30.24	46	46	48	ocf	fog	10	
1915-01-01	9	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27												
1915-01-01	10	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27		68	86	2	30.29	46	46	48	ocf	fog	10	
1915-01-01	11	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	 			38.09	-122.27												
1915-01-01	12	38.09	-122.26			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/94/6960/23696094/content/dc-metro/rg-026/585454/0002/Bear-b357/Bear-b357-0003.JPG	Noon: Mare Is. Cal.			38.09	-122.27		68	86	2	30.29	49	48	48	ocf	fog	10	
