YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	Ships	Other
1954-01-01	15	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0005.JPG	 			58.29	-134.4															
1954-01-01	16	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0005.JPG	 			58.29	-134.4		135	165	2	29.20	35	34		od	ns		10	4		
1954-01-01	17	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0005.JPG	 			58.29	-134.4															
1954-01-01	18	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0005.JPG	 			58.29	-134.4															
1954-01-01	19	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0005.JPG	 			58.29	-134.4															
1954-01-01	20	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0005.JPG	 			58.29	-134.4		135	165	13	29.10	37	36		od	ns		10	4		
1954-01-01	21	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0005.JPG	 			58.29	-134.4															
1954-01-01	22	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0005.JPG	 			58.29	-134.4															
1954-01-01	23	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0005.JPG	 			58.29	-134.4															
1954-01-01	24	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0005.JPG	 			58.29	-134.4		135	165	24	28.98	38	37		os	ns		10	4		
1954-01-02	1	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0006.JPG	 			58.29	-134.4															
1954-01-02	2	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0006.JPG	 			58.29	-134.4															
1954-01-02	3	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0006.JPG	 			58.29	-134.4															
1954-01-02	4	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0006.JPG	 			58.29	-134.4		135	165	19	28.97	38	36		os	ns		10	2		
1954-01-02	5	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/56/5479/38547956/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1954/storis-wmec-38-1954_0006.JPG	 			58.29	-134.4															
