YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirT	Kts	Baro	Dry	Wet	TSI	Weather	Low	Mid	High	Ceil	From	Amount	VisM	People	Ships	Other
1954-01-01	11	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						345	5	30.14	61	60		3	 CB/ST			30	345	9	4			
1954-01-01	12	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						345	5	30.14	61	60		3	 CB/ST			30	345	9	4			
1954-01-01	13	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						345	5	30.14	61	60		3	 CB/ST			30	345	9	4			
1954-01-01	14	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						345	5	30.12	62	61		3	 CB/ST			30	345	9	4			
1954-01-01	15	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						345	5	30.09	62	61		3	 CB/ST			30	345	9	4			
1954-01-01	16	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						345	5	30.09	63	64		3	 CB/ST			30	345	9	4			
1954-01-01	17	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						345	5	30.06	63	64		3	 CB/ST			30	345	9	4			
1954-01-01	18	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						345	5	30.07	56	55		3				30	345	9	2			
1954-01-01	19	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						345	5	30.08	58	53		3				30	340	9	2			
1954-01-01	20	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/28/1033/12103328/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1954-01/burton-island-agb-1-1954-01-0006.jpg	 						345	4	30.1	56	54		3	 CB/ST			30	345	9	4			
