YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirT	Kts	Baro	Dry	Wet	TSI	Weather	Low	Mid	High	Ceil	From	Amount	VisM	People	Ships	Other
1951-01-01	1	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/1008/12100857/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1951-01/burton-island-agb-1-1951-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/1008/12100857/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1951-01/burton-island-agb-1-1951-01-0004.jpg	Long Beach Naval Yard.						310	16	29.90	50	41		0				99			20			
1951-01-01	2	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/1008/12100857/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1951-01/burton-island-agb-1-1951-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/1008/12100857/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1951-01/burton-island-agb-1-1951-01-0004.jpg	Note: There is a blank line between the End of April and the Start of June. The logs for May are missing.						310	14	29.91	49	40		0				99			20			
1951-01-01	3	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/1008/12100857/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1951-01/burton-island-agb-1-1951-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/1008/12100857/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1951-01/burton-island-agb-1-1951-01-0004.jpg	 						310	8	29.93	48	39		0				99			20			
1951-01-01	4	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/1008/12100857/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1951-01/burton-island-agb-1-1951-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/1008/12100857/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1951-01/burton-island-agb-1-1951-01-0004.jpg	 						0	0	29.93	49	39		0				99			20			
1951-01-01	5	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/1008/12100857/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1951-01/burton-island-agb-1-1951-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/1008/12100857/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1951-01/burton-island-agb-1-1951-01-0004.jpg	 						0	0	29.94	45	39		0				99			20			
1951-01-01	6	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/1008/12100857/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1951-01/burton-island-agb-1-1951-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/1008/12100857/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1951-01/burton-island-agb-1-1951-01-0004.jpg	 						0	0	29.95	44	38		0				99			20			
1951-01-01	7	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/1008/12100857/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1951-01/burton-island-agb-1-1951-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/1008/12100857/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1951-01/burton-island-agb-1-1951-01-0004.jpg	 						330	10	29.98	46	38		0				99			20			
1951-01-01	8	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/1008/12100857/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1951-01/burton-island-agb-1-1951-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/1008/12100857/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1951-01/burton-island-agb-1-1951-01-0004.jpg	 						330	12	30.02	57	53		0				99	330	0	50			
1951-01-01	9	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/1008/12100857/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1951-01/burton-island-agb-1-1951-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/1008/12100857/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1951-01/burton-island-agb-1-1951-01-0004.jpg	 						330	12	30.02	58	54		0	cu			99		1	50			
1951-01-01	10	33.75	-118.24			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/1008/12100857/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1951-01/burton-island-agb-1-1951-01-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/1008/12100857/content/arcmedia/dc-metro/594258-navy-deck-logs/00003/burton-island-agb-1-1951-01/burton-island-agb-1-1951-01-0004.jpg	 						330	15	30.00	62	61		0				99		1	50			
