YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	Url_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	Baro	Attd	Dry	Wet	Water	Ships	Other
1944-06-01	23	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0005.jpg								29.42		40	39	40		
1944-06-01	24	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0005.jpg								29.42		40	39	40		
1944-06-02	1	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0010.jpg							29.42		40	39	40	0100: USS Luce (522)	
1944-06-02	2	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg								29.42		40	39	40		
1944-06-02	3	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg								29.42		40	39	40		
1944-06-02	4	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg								29.42		40	39	40		
1944-06-02	5	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg								29.42		40	39	40		
1944-06-02	6	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg								29.42		45	44	40		
1944-06-02	7	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg								29.42		45	44	40		
1944-06-02	8	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg								29.42		45	44	40		
1944-06-02	9	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg								29.42		43	42	40		
1944-06-02	10	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg								29.44		43	42	40		
1944-06-02	11	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg								29.46		43	42	40		
1944-06-02	12	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg		Noon: Sweeper Cove						29.46		43	42	40		
1944-06-02	13	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg								29.46		44	43	40		
1944-06-02	14	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg		1402: Shifting anchorage to Mooring Buoy #2 Sweepers Cove.						29.46		44	43	40		
1944-06-02	15	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg								29.47		45	43	40		
1944-06-02	16	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg								29.48		44	42	40		
1944-06-02	17	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg								29.48		43	42	40		
1944-06-02	18	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg								29.49		43	41	40		
1944-06-02	19	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg								29.49		44	42	40		
1944-06-02	20	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg								29.50		44	42	40		
1944-06-02	21	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg								29.52		42	42	40		
1944-06-02	22	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg								29.52		43	42	40		
1944-06-02	23	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg								29.57		42	41	40		
1944-06-02	24	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0008.jpg								29.60		42	41	40		
1944-06-03	1	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0012.jpg							29.60		42	41	40		
1944-06-03	2	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg								29.60		42	40	40		
1944-06-03	3	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg								29.62		41	40	40		
1944-06-03	4	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg								29.63		40	39	40		
1944-06-03	5	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg								29.63		40	39	40		
1944-06-03	6	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg								29.64		40	39	40		
1944-06-03	7	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg								29.66		41	40	40		
1944-06-03	8	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg								29.68		42	40	40		
1944-06-03	9	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg								29.70		42	41	40		
1944-06-03	10	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg								29.71		42	41	40		
1944-06-03	11	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg								29.72		43	42	40		
1944-06-03	12	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg		Noon: Sweeper Cove						29.74		46	44	40		
1944-06-03	13	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg								29.75		47	44	42		
1944-06-03	14	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg								29.77		47	44	42		
1944-06-03	15	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg								29.77		46	44	42		
1944-06-03	16	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg								29.77		46	43	42		
1944-06-03	17	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg								29.77		54	45	42	"1700: USS Sproston, USS Charles J. Badger"	
1944-06-03	18	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg								29.77		53	45	42		
1944-06-03	19	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg								29.78		45	42	42		
1944-06-03	20	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg								29.80		44	41	42		
1944-06-03	21	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg								29.80		44	44	42		
1944-06-03	22	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg								29.80		45	45	42		
1944-06-03	23	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg								29.82		46	45	42		
1944-06-03	24	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0011.jpg								29.82		45	44	42		
1944-06-04	1	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0013.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0014.jpg							29.83		42	40	40		
1944-06-04	2	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0013.jpg								29.84		40	39	40		
1944-06-04	3	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0013.jpg								29.85		40	39	40		
1944-06-04	4	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0013.jpg								29.86		40	39	40		
1944-06-04	5	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0013.jpg								29.86		40	39	40		
1944-06-04	6	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0013.jpg								29.86		40	39	40		
1944-06-04	7	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0013.jpg								29.88		40	39	40		
1944-06-04	8	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0013.jpg								29.88		42	40	40		
1944-06-04	9	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0013.jpg								29.88		44	42	40		
1944-06-04	10	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0013.jpg								29.91		44	42	40		
1944-06-04	11	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0013.jpg								29.92		41	43	40		
1944-06-04	12	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0013.jpg		Noon: Sweeper Cove						29.95		46	44	40		
1944-06-04	13	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0013.jpg								29.96		50	45	40		
1944-06-04	14	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0013.jpg								29.97		50	45	40		
1944-06-04	15	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0013.jpg								29.98		50	45	40		
1944-06-04	16	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0013.jpg								29.99		45	43	40		
1944-06-04	17	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0013.jpg								29.99		45	43	40		
1944-06-04	18	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0013.jpg								30.00		43	41	40		
1944-06-04	19	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0013.jpg								30.00		45	41	40		
1944-06-04	20	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0013.jpg								30.00		43	41	40		
1944-06-04	21	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0013.jpg								30.00		42	40	40		
1944-06-04	22	51.86	-176.63			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0016/Black-Hawk-AD-9-1944-06/Black-Hawk-AD-9-1944-06-0013.jpg								30.01		40	38	40		
