YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	Other
1864-01-01	15	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-066.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-066.JPG	 													
1864-01-01	16	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-066.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-066.JPG	 													
1864-01-01	17	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-066.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-066.JPG	 						315	324	5				bc	
1864-01-01	18	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-066.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-066.JPG	 													
1864-01-01	19	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-066.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-066.JPG	 						315	324	5				bc	
1864-01-01	20	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-066.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-066.JPG	 													
1864-01-01	21	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-066.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-066.JPG	 												bc	
1864-01-01	22	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-066.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-066.JPG	 													
1864-01-01	23	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-066.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-066.JPG	 													
1864-01-01	24	21.52	-105.28			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-066.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-005/581208-lancaster-005-066.JPG	 													
