YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather
1867-01-01	1	13.09	-59.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-009/581208-lancaster-009-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-009/581208-lancaster-009-069.JPG	 						68	68	5				bc
1867-01-01	2	13.09	-59.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-009/581208-lancaster-009-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-009/581208-lancaster-009-069.JPG	 						68	68	5				bc
1867-01-01	3	13.09	-59.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-009/581208-lancaster-009-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-009/581208-lancaster-009-069.JPG	 						68	68	5				bc
1867-01-01	4	13.09	-59.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-009/581208-lancaster-009-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-009/581208-lancaster-009-069.JPG	 						68	68	5	29.91	79		bc
1867-01-01	5	13.09	-59.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-009/581208-lancaster-009-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-009/581208-lancaster-009-069.JPG	 						68	68	5				bc
1867-01-01	6	13.09	-59.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-009/581208-lancaster-009-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-009/581208-lancaster-009-069.JPG	 						68	68	5				bc
1867-01-01	7	13.09	-59.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-009/581208-lancaster-009-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-009/581208-lancaster-009-069.JPG	 						68	68	5				bc
1867-01-01	8	13.09	-59.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-009/581208-lancaster-009-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-009/581208-lancaster-009-069.JPG	 						68	68	5	29.90	80		bc
1867-01-01	9	13.09	-59.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-009/581208-lancaster-009-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-009/581208-lancaster-009-069.JPG	 						68	68	5				bc
1867-01-01	10	13.09	-59.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-009/581208-lancaster-009-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-lancaster-009/581208-lancaster-009-069.JPG	 						68	68	5				bc
