YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	People	Ships	Other
1878-01-01	1	-33.02	-71.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	 			-33.02	-71.62		0	0	0	30.02	70.00	61	62		b	none				
1878-01-01	2	-33.02	-71.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	 						0	0	0	30	69.00	60	61		b	none	10			
1878-01-01	3	-33.02	-71.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	 						0	0	0	30	69.00	59	60		b	none	10			
1878-01-01	4	-33.02	-71.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	 						0	0	0	30	68.00	59	60		b	none	10			
1878-01-01	5	-33.02	-71.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	 						0	0	0	30	68.00	58	58		bz	none	10			
1878-01-01	6	-33.02	-71.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	 						0	0	0	30	67.00	58	58		bz	none	10			
1878-01-01	7	-33.02	-71.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	 						0	0	0	30	67.00	60	60		bz	none	10		0700: USS Adams	
1878-01-01	8	-33.02	-71.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	 						315	330	1	30	67.00	62	62		bz	none	10			
1878-01-01	9	-33.02	-71.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	 						304	319	2	30	67.00	62	64		bz	none	10			
1878-01-01	10	-33.02	-71.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	 						292	308	2	30.01	67.00	64	65		bz	none	10			
1878-01-01	11	-33.02	-71.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	 						315	330	2	30.01	67.00	63	64		bcz	cum	9			
1878-01-01	12	-33.02	-71.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	"Noon: Valparaiso, Chile."						68	82	1	30.01	68.00	64	66		bcz	cum	9			
1878-01-01	13	-33.02	-71.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	 						225	240	1	30.01	69.00	68	67		bcz	cum	9			
1878-01-01	14	-33.02	-71.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	 						225	240	6	30.01	72.00	70	68		bcz	cum	9			
1878-01-01	15	-33.02	-71.62			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-019/581208-omaha-019-194.JPG	 						225	240	5	30	73.00	72	70		bcz	cum	9			
