YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	Clouds	From	Amount	VisM	Flora&Fauna	Ships
1923-04-17	1	48.11	-122.76		3	a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682439/content/dc-metro/rg-026/585454/0002/Haida-1923-04/Haida-1923-04-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682439/content/dc-metro/rg-026/585454/0002/Haida-1923-04/Haida-1923-04-0022.JPG	 																		
1923-04-17	2	48.11	-122.76			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682439/content/dc-metro/rg-026/585454/0002/Haida-1923-04/Haida-1923-04-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682439/content/dc-metro/rg-026/585454/0002/Haida-1923-04/Haida-1923-04-0022.JPG	 																		
1923-04-17	3	48.11	-122.76			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682439/content/dc-metro/rg-026/585454/0002/Haida-1923-04/Haida-1923-04-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682439/content/dc-metro/rg-026/585454/0002/Haida-1923-04/Haida-1923-04-0022.JPG	 																		
1923-04-17	4	48.11	-122.76			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682439/content/dc-metro/rg-026/585454/0002/Haida-1923-04/Haida-1923-04-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682439/content/dc-metro/rg-026/585454/0002/Haida-1923-04/Haida-1923-04-0022.JPG	 						0	0	0	29.82	50		oc	n		10			
1923-04-17	5	48.11	-122.76			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682439/content/dc-metro/rg-026/585454/0002/Haida-1923-04/Haida-1923-04-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682439/content/dc-metro/rg-026/585454/0002/Haida-1923-04/Haida-1923-04-0022.JPG	 																		
1923-04-17	6	48.11	-122.76			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682439/content/dc-metro/rg-026/585454/0002/Haida-1923-04/Haida-1923-04-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682439/content/dc-metro/rg-026/585454/0002/Haida-1923-04/Haida-1923-04-0022.JPG	 																		
1923-04-17	7	48.11	-122.76			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682439/content/dc-metro/rg-026/585454/0002/Haida-1923-04/Haida-1923-04-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682439/content/dc-metro/rg-026/585454/0002/Haida-1923-04/Haida-1923-04-0022.JPG	 																		
1923-04-17	8	48.11	-122.76			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682439/content/dc-metro/rg-026/585454/0002/Haida-1923-04/Haida-1923-04-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682439/content/dc-metro/rg-026/585454/0002/Haida-1923-04/Haida-1923-04-0022.JPG	 						0	0	0	29.82	48		oc	n		10			
1923-04-17	9	48.11	-122.76			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682439/content/dc-metro/rg-026/585454/0002/Haida-1923-04/Haida-1923-04-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682439/content/dc-metro/rg-026/585454/0002/Haida-1923-04/Haida-1923-04-0022.JPG	 																		
1923-04-17	10	48.11	-122.76			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682439/content/dc-metro/rg-026/585454/0002/Haida-1923-04/Haida-1923-04-0022.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682439/content/dc-metro/rg-026/585454/0002/Haida-1923-04/Haida-1923-04-0022.JPG	 																		
