YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	Clouds	From	Amount	VisM	Flora&Fauna	Ships
1924-04-07	9	49.34	-126.98	282		9.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	 			49.341	-126.981	282	292	316	19	30.43	44	48	bc	cicu	292.5	2	50		
1924-04-07	10	49.45	-127.2	282		10		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	 			49.451	-127.2	282	292	316	19	30.43	44	48	bc	cicu	292.5	2	50		
1924-04-07	11	49.57	-127.43	282		10.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	 			49.565	-127.428	282	315	339	19	30.45	42	48	bc	cicu	315	3	50		
1924-04-07	12	49.68	-127.67	282		10.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	 			49 41N	127 40W	282	315	339	19	30.47	42	48	bc	cicu	315	3	50		
1924-04-07	13	49.77	-127.91	282		11		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	 			49.77	-127.911	282	315	339	19	30.48	44	48	bc	cicu	315	3	50		
1924-04-07	14	49.86	-128.16	282		11		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	 			49.856	-128.155	282	315	339	19	30.52	44	48	bc	acu	315	3	50		
1924-04-07	15	49.94	-128.4	282		11.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	 			49.944	-128.402	282	315	339	19	30.52	44	48	bc	acu	315	4	50		
1924-04-07	16	50.03	-128.65	282		11.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	 			50.033	-128.654	282	315	339	19	30.52	44	48	bc	acu	315	5	50		
1924-04-07	17	50.13	-128.91	282		11.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	 			50.127	-128.914	282	315	339	19	30.52	44	48	bc	acu	315	6	50		
1924-04-07	18	50.22	-129.18	282		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	 			50.224	-129.181	282	315	339	19	30.52	43	48	bc	cicu	315	6	50		
1924-04-07	19	50.32	-129.45	282		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	 			50.32	-129.449	282	315	339	8	30.53	40	48	bc	cicu	315	2	50		
1924-04-07	20	50.42	-129.72	282		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	 			50 25N	129 43W	282	315	339	8	30.54	42	48	bc	cicu	315	5	50		
1924-04-07	21	50.54	-129.96	282		11.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	 			50.535	-129.964	282	315	339	8	30.60	42	46	bc	ncu	315	9	50		
1924-04-07	22	50.66	-130.23	282		11.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	 			50.661	-130.227	282	315	339	8	30.60	42	46	bc	cu	315	6	20		
1924-04-07	23	50.79	-130.49	282		12		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	 			50.788	-130.494	282	315	339	8	30.60	42	46	bc	cu	315	4	7		
1924-04-07	24	50.92	-130.77	282		12.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0012.JPG	 			50.917	-130.765	282	315	341	8	30.60	42	46	bc	cu	315	4	7		
1924-04-08	1	51.05	-131.05	282		12.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	 			51.052	-131.048	282	315	341	8	30.61	44	44	bc	cu	315	4	4		
1924-04-08	2	51.19	-131.33	282		12.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	 			51.187	-131.334	282	315	341	8	30.60	44	44	bc	cu	315	4	4		
1924-04-08	3	51.32	-131.62	282		12.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	 			51.322	-131.62	282	315	341	8	30.60	43	44	bc	cu	315	4	4		
1924-04-08	4	51.46	-131.91	282		12.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	 			51.457	-131.906	282	315	341	8	30.60	43	44	bc	cu	315	4	4		
1924-04-08	5	51.59	-132.19	282		12.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	 			51.592	-132.192	282	225	251	2	30.56	41	44	oc	s	157.5	10	4		
1924-04-08	6	51.73	-132.48	282		12.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	 			51.728	-132.484	282	180	206	2	30.55	42	44	oc	s	157.5	10	7		
1924-04-08	7	51.87	-132.78	282		13		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	 			51.866	-132.779	282	158	184	5	30.53	43	44	oc	s	157.5	10	20		
1924-04-08	8	52	-133.07	282		12.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	 			   52N	 133 4W	282	158	184	8	30.51	44	44	oc	s	157.5	10	20		
1924-04-08	9	52.13	-133.34	282		12.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	 			52.133	-133.344	282	191	217	8	30.48	45	44	oc	s	191.25	10	4		
1924-04-08	10	52.27	-133.62	282		12.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	 			52.267	-133.624	282	180	206	8	30.47	47	44	oc	s	180	10	4		
1924-04-08	11	52.4	-133.91	282		12.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	 			52.401	-133.905	282	158	184	13	30.43	46	44	oc	s	180	10	4		
1924-04-08	12	52.53	-134.18	282		12.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	 			52 32N	134 11W	282	180	206	13	30.42	46	44	oc	s	180	10	4		
1924-04-08	13	52.66	-134.46	282		12.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	 			52.66	-134.459	282	180	206	13	30.40	46	44	o	scu	180	10	4		
1924-04-08	14	52.92	-135.01	282		25.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	1400: Set clocks back one hour.			52.921	-135.011	282	180	206	13	30.38	44	44	o	scu	180	10	4		
1924-04-08	15	53.05	-135.29	282		12.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	 			53.048	-135.289	282	180	206	13	30.34	44	44	o	scu	180	10	4		
1924-04-08	16	53.17	-135.57	282		12.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	 			53.174	-135.568	282	180	206	13	30.34	44	44	o	scu	180	10	4		
1924-04-08	17	53.3	-135.85	282		12.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	 			53.3	-135.847	282	180	206	13	30.28	44	44	of	n	180	10	4		
1924-04-08	18	53.43	-136.13	282		12.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	 			53.427	-136.128	282	180	206	13	30.28	44	44	of	n	180	10	1		
1924-04-08	19	53.55	-136.41	282		12.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	 			53.553	-136.409	282	202	228	8	30.27	44	44	of				1		
1924-04-08	20	53.68	-136.7	282		13		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	 			53 41N	136 42W	282	202	228	5	30.25	44	44	of				2		
1924-04-08	21	53.82	-136.97	282		12.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	 			53.8183	-136.9714	282	202	228	8	30.24	43	44	ocr	n	202.5	10	2		
1924-04-08	22	53.95	-137.24	282		12.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04-0013.JPG	 			53.9533	-137.2438	282	202	228	8	30.24	42	44	ocr	n	202.5	10	2		
