YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	Flora&Fauna	People	Ships	Other
1939-01-01	1	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/6911/23691136/content/dc-metro/rg-026/585454/0002/Haida-1939-01/Haida-1939-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/6911/23691136/content/dc-metro/rg-026/585454/0002/Haida-1939-01/Haida-1939-01-0005.JPG	 			58.29	-134.4																	
1939-01-01	2	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/6911/23691136/content/dc-metro/rg-026/585454/0002/Haida-1939-01/Haida-1939-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/6911/23691136/content/dc-metro/rg-026/585454/0002/Haida-1939-01/Haida-1939-01-0005.JPG	 			58.29	-134.4																	
1939-01-01	3	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/6911/23691136/content/dc-metro/rg-026/585454/0002/Haida-1939-01/Haida-1939-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/6911/23691136/content/dc-metro/rg-026/585454/0002/Haida-1939-01/Haida-1939-01-0005.JPG	 			58.29	-134.4																	
1939-01-01	4	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/6911/23691136/content/dc-metro/rg-026/585454/0002/Haida-1939-01/Haida-1939-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/6911/23691136/content/dc-metro/rg-026/585454/0002/Haida-1939-01/Haida-1939-01-0005.JPG	 			58.29	-134.4		135	166	8	29.08	40	33		bc	SCU		4	20				
1939-01-01	5	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/6911/23691136/content/dc-metro/rg-026/585454/0002/Haida-1939-01/Haida-1939-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/6911/23691136/content/dc-metro/rg-026/585454/0002/Haida-1939-01/Haida-1939-01-0005.JPG	 			58.29	-134.4																	
1939-01-01	6	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/6911/23691136/content/dc-metro/rg-026/585454/0002/Haida-1939-01/Haida-1939-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/6911/23691136/content/dc-metro/rg-026/585454/0002/Haida-1939-01/Haida-1939-01-0005.JPG	 			58.29	-134.4																	
1939-01-01	7	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/6911/23691136/content/dc-metro/rg-026/585454/0002/Haida-1939-01/Haida-1939-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/6911/23691136/content/dc-metro/rg-026/585454/0002/Haida-1939-01/Haida-1939-01-0005.JPG	 			58.29	-134.4																	
1939-01-01	8	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/6911/23691136/content/dc-metro/rg-026/585454/0002/Haida-1939-01/Haida-1939-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/6911/23691136/content/dc-metro/rg-026/585454/0002/Haida-1939-01/Haida-1939-01-0005.JPG	 			58.29	-134.4		135	166	13	29.10	37	32		o	ACU		10	20				
1939-01-01	9	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/6911/23691136/content/dc-metro/rg-026/585454/0002/Haida-1939-01/Haida-1939-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/6911/23691136/content/dc-metro/rg-026/585454/0002/Haida-1939-01/Haida-1939-01-0005.JPG	 			58.29	-134.4																	
1939-01-01	10	58.29	-134.4			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/6911/23691136/content/dc-metro/rg-026/585454/0002/Haida-1939-01/Haida-1939-01-0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/6911/23691136/content/dc-metro/rg-026/585454/0002/Haida-1939-01/Haida-1939-01-0005.JPG	 			58.29	-134.4																	
