YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	Clouds	From	Amount	VisM	Flora&Fauna	Ships
1925-04-16	1	48.5	-124.66	252		9.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683425/content/dc-metro/rg-026/585454/0002/Haida-1925-04/Haida-1925-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683425/content/dc-metro/rg-026/585454/0002/Haida-1925-04/Haida-1925-04-0021.JPG	"0136: Tatoosh Lt brg 156T, Carmanah Lt brg 24T"			48.5	-124.66	252	112	138	5	29.86	48	50	of	cu n		10	0.25		
1925-04-16	2	48.52	-124.96	222		9.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683425/content/dc-metro/rg-026/585454/0002/Haida-1925-04/Haida-1925-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683425/content/dc-metro/rg-026/585454/0002/Haida-1925-04/Haida-1925-04-0021.JPG	"0220: Swiftsure light ship abm  cc 260psc 0235 Pachena Lt brg 350T, Carmanah Lt 72T"			48.519	-124.9607	222	124	149	10	29.86	48	50	oz	cu n		10	2		
1925-04-16	3	48.56	-125.18	248		8.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683425/content/dc-metro/rg-026/585454/0002/Haida-1925-04/Haida-1925-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683425/content/dc-metro/rg-026/585454/0002/Haida-1925-04/Haida-1925-04-0021.JPG	 			48.5574	-125.1771	248	124	149	13	29.85	48	50	oz	n		10	2		
1925-04-16	4	48.6	-125.4	260		9.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683425/content/dc-metro/rg-026/585454/0002/Haida-1925-04/Haida-1925-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683425/content/dc-metro/rg-026/585454/0002/Haida-1925-04/Haida-1925-04-0021.JPG	0400: On course 260psc 285T			48.5967	-125.3984	260	135	160	13	29.83	49	50	oz	n		10	2		
1925-04-16	5	48.64	-125.62	260		9.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683425/content/dc-metro/rg-026/585454/0002/Haida-1925-04/Haida-1925-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683425/content/dc-metro/rg-026/585454/0002/Haida-1925-04/Haida-1925-04-0021.JPG	 			48.6368	-125.6248	260	135	160	8	29.83	49	50	ozd	n		10	4		
1925-04-16	6	48.68	-125.86	260		9.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683425/content/dc-metro/rg-026/585454/0002/Haida-1925-04/Haida-1925-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683425/content/dc-metro/rg-026/585454/0002/Haida-1925-04/Haida-1925-04-0021.JPG	"0630: 300T, 274psc"			48.6782	-125.8588	260	135	160	8	29.81	48	50	ozd	n		10	4		
1925-04-16	7	48.76	-126.08	267		9.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683425/content/dc-metro/rg-026/585454/0002/Haida-1925-04/Haida-1925-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683425/content/dc-metro/rg-026/585454/0002/Haida-1925-04/Haida-1925-04-0021.JPG	 			48.7574	-126.0753	267	135	160	8	29.80	49	50	ozd	n		10	4		
1925-04-16	8	48.83	-126.28	274		9.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683425/content/dc-metro/rg-026/585454/0002/Haida-1925-04/Haida-1925-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683425/content/dc-metro/rg-026/585454/0002/Haida-1925-04/Haida-1925-04-0021.JPG	 			48 50N	126 17W	274	135	160	8	29.80	49	50	ozd	n		10	4	0800: Five fur seals sighted during 04-08 watch	
1925-04-16	9	48.9	-126.47	274		9.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683425/content/dc-metro/rg-026/585454/0002/Haida-1925-04/Haida-1925-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683425/content/dc-metro/rg-026/585454/0002/Haida-1925-04/Haida-1925-04-0021.JPG	 			48.904	-126.474	274	135	160	13	29.76	50	50	of	n		10	2		
1925-04-16	10	48.98	-126.68	274		9.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683425/content/dc-metro/rg-026/585454/0002/Haida-1925-04/Haida-1925-04-0021.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23683425/content/dc-metro/rg-026/585454/0002/Haida-1925-04/Haida-1925-04-0021.JPG	 			48.979	-126.676	274	112	138	19	29.76	50	50	od	n		10	2		
