YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	People	Other
1868-01-01	1	34.67	135.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-shenandoah-010/581208-shenandoah-010-010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-shenandoah-010/581208-shenandoah-010-010.JPG	0000: Bearings Tower on Cove Pt. N76W Hioga Pt. S36W 0000: at anchor off Osaca Japan						45	42	2						o	Nimb.	0		
1868-01-01	2	34.67	135.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-shenandoah-010/581208-shenandoah-010-010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-shenandoah-010/581208-shenandoah-010-010.JPG	 						45	42	5	30.06	50	47	45		o	Nimb.	0		
1868-01-01	3	34.67	135.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-shenandoah-010/581208-shenandoah-010-010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-shenandoah-010/581208-shenandoah-010-010.JPG	 						45	42	8						od	Nimb.	0		
1868-01-01	4	34.67	135.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-shenandoah-010/581208-shenandoah-010-010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-shenandoah-010/581208-shenandoah-010-010.JPG	 						45	42	8	30.06	50	46	44		od	Nimb.	0		
1868-01-01	5	34.67	135.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-shenandoah-010/581208-shenandoah-010-010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-shenandoah-010/581208-shenandoah-010-010.JPG	 						45	42	13						oc	Nim.	0		
1868-01-01	6	34.67	135.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-shenandoah-010/581208-shenandoah-010-010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-shenandoah-010/581208-shenandoah-010-010.JPG	 						45	42	13	30.04	54	46	44		oc	Nim.	0		
1868-01-01	7	34.67	135.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-shenandoah-010/581208-shenandoah-010-010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-shenandoah-010/581208-shenandoah-010-010.JPG	 						45	42	13						oc	Nim.	0		
1868-01-01	8	34.67	135.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-shenandoah-010/581208-shenandoah-010-010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-shenandoah-010/581208-shenandoah-010-010.JPG	 						45	42	13	30.02	56	46	44		oc	Nim.	0		"8AM to Meridian: 10:15 dressed the ship with the Japanese Ensign at the main; and the American Ensign at the fore, mizzen and peak. 11:00 the Captain of HIMS !La Place! came on board. 11:00  got the battery ready for saluting. 12:00  fired a National Salute of 21 guns, in honor of the opening of the Port of Osaca, by the Japanese Government."
1868-01-01	9	34.67	135.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-shenandoah-010/581208-shenandoah-010-010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-shenandoah-010/581208-shenandoah-010-010.JPG	 						45	42	13						oc	Strat.	1	9:15AM: Released Charles Cofre (C He) from confinement and made him a prisoner at large per order of Commodore Goldsborough.  The unexpired portion of the sentence of Summary Court Martial in the case of Wm Cook. (OS) was remitted and he was released from confinement.	
1868-01-01	10	34.67	135.20			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-shenandoah-010/581208-shenandoah-010-010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-shenandoah-010/581208-shenandoah-010-010.JPG	 						45	42	13	29.96	58	47	45		c	Cum.Strat.	2		
