YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Weather	Other			
1865-01-01	1	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-002/581208-sacramento-002-177.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-002/581208-sacramento-002-177.JPG	 						0	0	0			bv				
1865-01-01	2	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-002/581208-sacramento-002-177.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-002/581208-sacramento-002-177.JPG	 						0	0	0			bv				
1865-01-01	3	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-002/581208-sacramento-002-177.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-002/581208-sacramento-002-177.JPG	 						360	339	2			bcp				
1865-01-01	4	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-002/581208-sacramento-002-177.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-002/581208-sacramento-002-177.JPG	 						360	339	2	29.77	52	bcp				
1865-01-01	5	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-002/581208-sacramento-002-177.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-002/581208-sacramento-002-177.JPG	 						360	339	2			cr				
1865-01-01	6	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-002/581208-sacramento-002-177.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-002/581208-sacramento-002-177.JPG	 						360	339	2			cr				
1865-01-01	7	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-002/581208-sacramento-002-177.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-002/581208-sacramento-002-177.JPG	 						360	339	2			bc				
1865-01-01	8	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-002/581208-sacramento-002-177.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-002/581208-sacramento-002-177.JPG	 						360	339	2	29.80	52	bc				
1865-01-01	9	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-002/581208-sacramento-002-177.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-002/581208-sacramento-002-177.JPG	 						360	339	2			or				
1865-01-01	10	38.69	-9.17			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-002/581208-sacramento-002-177.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-sacramento-002/581208-sacramento-002-177.JPG	 						270	249	2			or				
