YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	People	Ships	Other
1923-01-01	12	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					285	270	272	2	30.09		89	89		c	cicu	270	9				
1923-01-01	13	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					285	270	272	2	30.07		88	88		c	scu	270	8				
1923-01-01	14	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					285	270	272	2	30.05		87	87		c	scu	270	7				
1923-01-01	15	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					157	270	272	5	30.03		84	85		c	scu	270	7				
1923-01-01	16	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					130	225	227	5	30.05		83	83		c	acu	270	7				
1923-01-01	17	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					106	225	227	2	30.04		81	81		bc	acu	270	6				
1923-01-01	18	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					108	225	227	2	30.02		80	80		bcz	cis	270	7				
1923-01-01	19	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					103	225	227	2	30.02		80	80		bcz	cus	270	6				
1923-01-01	20	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					107	225	227	2	30.02		79	79		bc	cicu	270	4				
1923-01-01	21	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					210	225	227	2	30.04		76	76		c	cicu	225	9				
1923-01-01	22	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					205	225	227	2	30.06		76	76		c	cicu	225	9				
1923-01-01	23	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					233	225	227	2	30.07		78	78		c	cus	225	9				
1923-01-01	24	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					290	225	227	2	30.07		79	78		c	cicu	225	9				
1923-01-02	1	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					295	23	25	5	30.07		77	77		o	N	360	10				
1923-01-02	2	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					300	23	25	5	30.04		76	76		o	N	360	10				
1923-01-02	3	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					47	23	25	5	30.01		78	78		o	N	360	10				
1923-01-02	4	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					102	23	25	5	30.01		77	77		bc	cis	90	10				
1923-01-02	5	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_010.jpg	 					125	90	92	2	30.01		76	76		bc	cis	90	10				
