YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	Ships
1949-01-01	1	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	": Pier 91 US Naval Station. Seattle, Wash"			47.629	-122.383														
1949-01-01	2	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	 			47.629	-122.383														
1949-01-01	3	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	 			47.629	-122.383														
1949-01-01	4	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	 			47.629	-122.383		0	0	0	29.68	35	34		o	st		10	1	
1949-01-01	5	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	 			47.629	-122.383														
1949-01-01	6	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	 			47.629	-122.383														
1949-01-01	7	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	 			47.629	-122.383														
1949-01-01	8	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	 			47.629	-122.383		180	203	15	29.68	35	34		o	ns	135	10	7	
1949-01-01	9	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	 			47.629	-122.383														
1949-01-01	10	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	 			47.629	-122.383														
1949-01-01	11	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	 			47.629	-122.383														
1949-01-01	12	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/10/6526/23652610/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b640/Northwind-WAG-282-b640_0005.JPG	 			47.629	-122.383		180	203	10	29.70	40	38		bc	cu	135	6	7	
