YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Weather	Clouds	From	Amount	VisM	Ships
1950-01-01	13	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	 																	
1950-01-01	14	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	 																	
1950-01-01	15	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	 																	
1950-01-01	16	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	 						360	23	8	29.84	28	28	OS	NS	360	10	1	
1950-01-01	17	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	 																	
1950-01-01	18	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	 																	
1950-01-01	19	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	 																	
1950-01-01	20	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	 						0	0	0	29.89	28	28	O-S	NS	360	10	0.1	
1950-01-01	21	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	 																	
1950-01-01	22	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	 																	
1950-01-01	23	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	 																	
1950-01-01	24	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	 						45	68	5	29.84	28	28	O	Cs	360	10	20	
1950-01-02	1	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	 																	
1950-01-02	2	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	 																	
1950-01-02	3	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	 																	
1950-01-02	4	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	 						315	338	19	30.06	22	20	C	Cs	315	7	20	
1950-01-02	5	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	 																	
1950-01-02	6	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	 																	
1950-01-02	7	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	 																	
1950-01-02	8	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	 						360	23	8	30.16	20	18	C	Cs	360	7	50	
1950-01-02	9	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	 																	
1950-01-02	10	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	 																	
1950-01-02	11	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	 																	
1950-01-02	12	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	"Noon: Seattle, Wash"						22	46	13	30.18	22	20	C	Cs	360	5	50	
1950-01-02	13	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	 																	
1950-01-02	14	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0006.JPG	 																	
